@relation 'Wine Quality Dataset-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
0.185841,0.438356,0.02,0.061644,0.110184,0.074627,0.021201,0.435389,0.637795,0.179641,0.238462,3
0.265487,1,0,0.082192,0.208681,0.059701,0.010601,0.344347,0.598425,0.041916,0.384615,3
0.238938,0.589041,0.05,0.082192,0.081803,0.283582,0.151943,0.512482,0.448819,0.131737,0.2,3
0.513274,0.335616,0.49,0.082192,0.313856,0.059701,0.035336,0.685022,0.330709,0.179641,0,3
0.619469,0.315068,0.66,0.089041,0.103506,0.134328,0.144876,0.787812,0.401575,0.143713,0.092308,3
0.221239,0.517123,0.05,0.328767,0.116861,0.029851,0.028269,0.588106,0.519685,0.113772,0.276923,3
0.265487,0.383562,0.02,0.027397,0.100167,0.119403,0.04947,0.4721,0.338583,0.449102,0.123077,4
0.035398,0.616438,0.04,0.034247,0.055092,0.597015,0.279152,0.273862,0.795276,0.08982,0.323077,4
0.088496,0.342466,0.03,0.041096,0.113523,0.074627,0.024735,0.360499,0.724409,0.173653,0.261538,4
0.327434,0.34589,0.2,0.041096,0.113523,0.38806,0.399293,0.523495,0.330709,0.473054,0.107692,4
0.238938,0.294521,0.03,0.047945,0.100167,0.238806,0.127208,0.406021,0.496063,0.08982,0.092308,4
0.39823,0.441781,0.04,0.047945,0.110184,0.044776,0.028269,0.582232,0.433071,0.125749,0.2,4
0.619469,0.239726,0.44,0.047945,0.225376,0.522388,0.159011,0.608664,0.503937,0.317365,0.230769,4
0.292035,0.523973,0.03,0.061644,0.076795,0.044776,0.007067,0.523495,0.488189,0,0.107692,4
0.371681,0.571918,0.05,0.061644,0.105175,0.059701,0.045936,0.447137,0.440945,0.065868,0.184615,4
0.150442,0.616438,0,0.075342,0.118531,0.238806,0.063604,0.315712,0.669291,0.131737,0.430769,4
0.212389,0.585616,0.04,0.075342,0.125209,0.164179,0.215548,0.409692,0.480315,0.161677,0.153846,4
0.238938,0.157534,0.24,0.075342,0.09182,0.402985,0.14841,0.417768,0.543307,0.125749,0.246154,4
0.141593,0.455479,0,0.082192,0.080134,0.074627,0.024735,0.482379,0.669291,0.167665,0.246154,4
0.20354,0.664384,0.06,0.082192,0.081803,0.164179,0.088339,0.347283,0.606299,0.05988,0.461538,4
0,0.273973,0.15,0.082192,0.070117,0.104478,0.208481,0.244493,0.913386,0.137725,0.723077,4
0.20354,0.184932,0.24,0.082192,0.15025,0.044776,0.003534,0.334068,0.551181,0.149701,0.461538,4
0.327434,0.380137,0.26,0.082192,0.1202,0.149254,0.130742,0.552863,0.448819,0.11976,0.123077,4
